"","EdHd","MoBd","JlHd","EhBd","BlBd","HdBd","PFiBd","PFlBl","CFdCPd","Length","AVG_MXL","AVG_LMAT","AVG_AGEMAT","AVG_LONGY","AVG_FECUND","AVG_EGGSIZE","Tp_pref","Q_pref","number_nas"
"EdHd",1,0.249620048345475,0.0077453211201432,-0.124471912919836,0.0361258783340724,0.0759216724137093,0.112410980464311,0.00141874524330427,0.228011177249461,-0.56749274495778,-0.556892243743465,-0.479228857040381,-0.473719823302548,-0.51515024818847,-0.368556187540948,-0.283620397907754,0.135036688709118,-0.026638653903935,0.119713699185377
"MoBd",0.249620048345475,1,0.176295290047734,0.419428445382165,-0.124578588350285,-0.115996137691927,0.257076234708636,0.00795700625754698,0.0105241737630983,-0.075323034570728,-0.0582850768220259,-0.131072929039931,-0.196339104927879,-0.0859160843928608,-0.0335792466026793,-0.113471479136555,0.0330357895158212,-0.114001829994066,0.0303151920123444
"JlHd",0.0077453211201432,0.176295290047734,1,0.115354799307247,0.204060719850415,0.0681340211834513,0.00645213439162333,-0.269353445759684,0.0105814853984233,0.274315763151579,0.257297162576852,0.280720668571398,0.192226449486562,0.262713415598165,0.126797812650644,0.219933389393344,-0.0305395076365827,0.0370289288556826,-0.000161533589808258
"EhBd",-0.124471912919836,0.419428445382165,0.115354799307247,1,0.13019461968129,0.441732721748177,0.332986938949107,0.111129774960699,-0.035948490391778,-0.0451833389684332,-0.0668178981908407,-0.0723631331069895,-0.077573895152071,-0.0828138474408146,-0.166847783685883,0.139773200491582,-0.179371033396103,-0.0220387229722041,0.0482593826094617
"BlBd",0.0361258783340724,-0.124578588350285,0.204060719850415,0.13019461968129,1,0.45436888512796,0.321791681003734,-0.51962630693313,-0.250392094949136,0.0328000125270876,0.0709615521978916,0.151383573067705,0.153981446121091,0.0328387190697691,-0.0752304154329275,0.149598286504537,-0.0488416038305551,0.187901379763118,-0.441274400648013
"HdBd",0.0759216724137093,-0.115996137691927,0.0681340211834513,0.441732721748177,0.45436888512796,1,0.14782646602242,0.0987960620741467,0.076293542822844,-0.34538641770922,-0.352736356099653,-0.296138323755812,-0.269812721462786,-0.349407451758943,-0.442183539811314,0.0839842142078881,-0.0220691418467146,0.022668969096141,0.0633353048552658
"PFiBd",0.112410980464311,0.257076234708636,0.00645213439162333,0.332986938949107,0.321791681003734,0.14782646602242,1,0.165790960090016,-0.192767670779769,-0.137491850158093,-0.0959745458464616,-0.108416305437274,-0.0891284574223519,-0.112353399173203,-0.124533380876324,-0.0716999413020127,-0.00550197874255955,-0.123019539931672,-0.173046342693343
"PFlBl",0.00141874524330427,0.00795700625754698,-0.269353445759684,0.111129774960699,-0.51962630693313,0.0987960620741467,0.165790960090016,1,0.252787795087692,-0.320771473833865,-0.309039635145185,-0.342519850112198,-0.347000868676468,-0.260770228319587,-0.239219433646475,-0.0386395610788704,0.0875533703863514,0.0529844493835214,-0.0415440501860685
"CFdCPd",0.228011177249461,0.0105241737630983,0.0105814853984233,-0.035948490391778,-0.250392094949136,0.076293542822844,-0.192767670779769,0.252787795087692,1,-0.0554707654335357,-0.0451159362326096,-0.0604293645174252,-0.215119543148444,-0.0985789914839217,-0.0452898384883719,0.17573239133825,-0.0432237747038929,0.16098401117297,-0.0137664709620969
"Length",-0.56749274495778,-0.075323034570728,0.274315763151579,-0.0451833389684332,0.0328000125270876,-0.34538641770922,-0.137491850158093,-0.320771473833865,-0.0554707654335357,1,0.992850786220408,0.91569585742004,0.80348604156069,0.901418580314581,0.815369707086698,0.368200114782756,-0.170939312684114,0.15534255739605,-0.0271850740525382
