,EdHd,MoBd,JlHd,EhBd,BlBd,HdBd,PFiBd,PFlBl,CFdCPd,Length,AVG_MXL,AVG_LMAT,AVG_AGEMAT,AVG_LONGY,AVG_FECUND,AVG_EGGSIZE,Tp_pref,Q_pref
EdHd,1,0.199575988,0.03555338,-0.118306767,0.05993871,0.09630566,0.17850044,-0.003087117,0.244738951,-0.451767283,-0.445986544,-0.400501422,-0.341185945,-0.426364042,-0.133199586,-0.309436901,0.123805087,0.014394793
MoBd,0.199575988,1,0.108637274,0.491433756,-0.023639858,-0.000563923,0.250685533,-0.041239173,0.027740107,0.012934978,0.034248711,-0.064435108,-0.104016067,0.017654751,0.126596737,-0.037869115,-0.061681786,-0.009027925
JlHd,0.03555338,0.108637274,1,0.047368819,0.382001679,0.031806892,-0.03547484,-0.310211558,0.010495732,0.279637225,0.260412564,0.329061632,0.103511375,0.254640727,-0.000174701,0.273616311,0.02532829,0.070267774
EhBd,-0.118306767,0.491433756,0.047368819,1,0.196929532,0.446602085,0.335963965,0.092742362,-0.061533691,-0.00132932,0.022974723,-0.066351652,-0.071676231,0.006377022,0.067904374,0.145447281,-0.2125592,-0.049491302
BlBd,0.05993871,-0.023639858,0.382001679,0.196929532,1,0.291333816,0.288814246,-0.544177838,-0.270019862,0.267346701,0.260853555,0.363507475,0.451245752,0.372005718,0.320558146,0.050179425,-0.069104965,-0.000620034
HdBd,0.09630566,-0.000563923,0.031806892,0.446602085,0.291333816,1,0.204119489,0.132486434,0.04062942,-0.27110837,-0.268803554,-0.275749805,-0.253325344,-0.278224774,-0.178684021,0.013314223,-0.002132805,0.010991754
PFiBd,0.17850044,0.250685533,-0.03547484,0.335963965,0.288814246,0.204119489,1,0.133114476,-0.159541072,-0.058788071,-0.03656301,-0.097042191,0.034190157,-0.020856769,0.271873463,-0.087949058,-0.013837539,-0.101761013
PFlBl,-0.003087117,-0.041239173,-0.310211558,0.092742362,-0.544177838,0.132486434,0.133114476,1,0.149388042,-0.411335939,-0.407375843,-0.454601134,-0.426350361,-0.421973059,-0.275574701,-0.080151693,0.084870025,0.058641166
CFdCPd,0.244738951,0.027740107,0.010495732,-0.061533691,-0.270019862,0.04062942,-0.159541072,0.149388042,1,-0.062609929,-0.053892806,-0.063559811,-0.330340894,-0.16478256,-0.286081968,0.113215814,-0.104044171,0.06091029
Length,-0.451767283,0.012934978,0.279637225,-0.00132932,0.267346701,-0.27110837,-0.058788071,-0.411335939,-0.062609929,1,0.980583476,0.825493568,0.571745056,0.838781169,0.351275131,0.34991036,-0.139045799,0.079917951
AVG_MXL,-0.445986544,0.034248711,0.260412564,0.022974723,0.260853555,-0.268803554,-0.03656301,-0.407375843,-0.053892806,0.980583476,1,0.84854588,0.585298964,0.848505497,0.431898787,0.344474857,-0.126874289,0.08985216
AVG_LMAT,-0.400501422,-0.064435108,0.329061632,-0.066351652,0.363507475,-0.275749805,-0.097042191,-0.454601134,-0.063559811,0.825493568,0.84854588,1,0.721323079,0.770100514,0.446780627,0.348388314,-0.033572983,0.196678825
AVG_AGEMAT,-0.341185945,-0.104016067,0.103511375,-0.071676231,0.451245752,-0.253325344,0.034190157,-0.426350361,-0.330340894,0.571745056,0.585298964,0.721323079,1,0.684394536,0.600133771,0.081342761,-0.159109568,0.102899555
AVG_LONGY,-0.426364042,0.017654751,0.254640727,0.006377022,0.372005718,-0.278224774,-0.020856769,-0.421973059,-0.16478256,0.838781169,0.848505497,0.770100514,0.684394536,1,0.430229296,0.258545919,-0.272496549,0.01009197
AVG_FECUND,-0.133199586,0.126596737,-0.000174701,0.067904374,0.320558146,-0.178684021,0.271873463,-0.275574701,-0.286081968,0.351275131,0.431898787,0.446780627,0.600133771,0.430229296,1,-0.183497621,-0.066496894,-0.005197978
AVG_EGGSIZE,-0.309436901,-0.037869115,0.273616311,0.145447281,0.050179425,0.013314223,-0.087949058,-0.080151693,0.113215814,0.34991036,0.344474857,0.348388314,0.081342761,0.258545919,-0.183497621,1,-0.287146675,0.069486649
Tp_pref,0.123805087,-0.061681786,0.02532829,-0.2125592,-0.069104965,-0.002132805,-0.013837539,0.084870025,-0.104044171,-0.139045799,-0.126874289,-0.033572983,-0.159109568,-0.272496549,-0.066496894,-0.287146675,1,0.148678975
Q_pref,0.014394793,-0.009027925,0.070267774,-0.049491302,-0.000620034,0.010991754,-0.101761013,0.058641166,0.06091029,0.079917951,0.08985216,0.196678825,0.102899555,0.01009197,-0.005197978,0.069486649,0.148678975,1
