,EdHd,MoBd,JlHd,EhBd,BlBd,HdBd,PFiBd,PFlBl,CFdCPd,Length,AVG_MXL,AVG_LMAT,AVG_AGEMAT,AVG_LONGY,AVG_FECUND,AVG_EGGSIZE,Tp_pref,Q_pref
EdHd,1,0.27863057,0.034370245,-0.010533767,0.118296208,0.047629525,0.180340411,-0.0055134,0.151924982,-0.587528485,-0.583063618,-0.463025804,-0.493527621,-0.549781786,-0.381699505,-0.395649244,0.207807439,0.124659081
MoBd,0.27863057,1,0.179319733,0.487175688,-0.192374639,-0.067522352,0.272293763,0.035100598,0.082814176,-0.147791364,-0.142637683,-0.20273389,-0.290697157,-0.17246742,-0.055801239,-0.21757656,0.161159093,-0.075091946
JlHd,0.034370245,0.179319733,1,0.067430737,0.471053035,0.023802486,-0.013568059,-0.463342224,-0.05722041,0.333296095,0.317370896,0.345294311,0.213247874,0.357908394,0.204363767,0.245170385,0.026983073,0.107567336
EhBd,-0.010533767,0.487175688,0.067430737,1,0.145411151,0.517424677,0.32134851,0.020922912,0.171119079,-0.139280637,-0.11860164,-0.170966508,-0.188483492,-0.183872786,-0.249356292,0.11642661,-0.080199662,-0.121599636
BlBd,0.118296208,-0.192374639,0.471053035,0.145411151,1,0.404672608,0.217121432,-0.598597987,-0.15260291,0.005074737,0.007247575,0.109904587,0.126152509,0.059526872,-0.154236665,0.274182363,-0.030552863,0.067712061
HdBd,0.047629525,-0.067522352,0.023802486,0.517424677,0.404672608,1,0.094549825,-0.037139096,0.078953246,-0.263530325,-0.261349523,-0.23033132,-0.233019691,-0.267152113,-0.43735284,0.214371334,-0.217468918,-0.046912752
PFiBd,0.180340411,0.272293763,-0.013568059,0.32134851,0.217121432,0.094549825,1,0.221986869,-0.184404941,-0.21570423,-0.183783178,-0.252813262,-0.200781368,-0.176810377,-0.187634902,-0.113452151,0.025123701,-0.123009189
PFlBl,-0.0055134,0.035100598,-0.463342224,0.020922912,-0.598597987,-0.037139096,0.221986869,1,0.16057376,-0.298015676,-0.280739455,-0.357831769,-0.29052075,-0.242538719,-0.122489749,-0.261411815,-0.094972716,-0.036178812
CFdCPd,0.151924982,0.082814176,-0.05722041,0.171119079,-0.15260291,0.078953246,-0.184404941,0.16057376,1,0.046636993,0.060381603,0.079608961,-0.061768786,-0.040247889,0.105760159,0.086114048,-0.02272948,0.205077218
Length,-0.587528485,-0.147791364,0.333296095,-0.139280637,0.005074737,-0.263530325,-0.21570423,-0.298015676,0.046636993,1,0.996328485,0.946411993,0.85486502,0.909175335,0.838886872,0.539290899,-0.076494069,0.208257323
AVG_MXL,-0.583063618,-0.142637683,0.317370896,-0.11860164,0.007247575,-0.261349523,-0.183783178,-0.280739455,0.060381603,0.996328485,1,0.944074311,0.848087834,0.903375048,0.849320031,0.526178539,-0.076261995,0.172781963
AVG_LMAT,-0.463025804,-0.20273389,0.345294311,-0.170966508,0.109904587,-0.23033132,-0.252813262,-0.357831769,0.079608961,0.946411993,0.944074311,1,0.858525377,0.846007047,0.812053767,0.541181005,-0.024467272,0.296986751
AVG_AGEMAT,-0.493527621,-0.290697157,0.213247874,-0.188483492,0.126152509,-0.233019691,-0.200781368,-0.29052075,-0.061768786,0.85486502,0.848087834,0.858525377,1,0.815080179,0.678163723,0.4951117,-0.116672026,0.289886801
AVG_LONGY,-0.549781786,-0.17246742,0.357908394,-0.183872786,0.059526872,-0.267152113,-0.176810377,-0.242538719,-0.040247889,0.909175335,0.903375048,0.846007047,0.815080179,1,0.753216905,0.509085849,-0.187788659,0.101530551
AVG_FECUND,-0.381699505,-0.055801239,0.204363767,-0.249356292,-0.154236665,-0.43735284,-0.187634902,-0.122489749,0.105760159,0.838886872,0.849320031,0.812053767,0.678163723,0.753216905,1,0.171962359,-0.018019232,0.24124657
AVG_EGGSIZE,-0.395649244,-0.21757656,0.245170385,0.11642661,0.274182363,0.214371334,-0.113452151,-0.261411815,0.086114048,0.539290899,0.526178539,0.541181005,0.4951117,0.509085849,0.171962359,1,-0.163649831,0.121283914
Tp_pref,0.207807439,0.161159093,0.026983073,-0.080199662,-0.030552863,-0.217468918,0.025123701,-0.094972716,-0.02272948,-0.076494069,-0.076261995,-0.024467272,-0.116672026,-0.187788659,-0.018019232,-0.163649831,1,0.240467386
Q_pref,0.124659081,-0.075091946,0.107567336,-0.121599636,0.067712061,-0.046912752,-0.123009189,-0.036178812,0.205077218,0.208257323,0.172781963,0.296986751,0.289886801,0.101530551,0.24124657,0.121283914,0.240467386,1
