"","Species","EdHd","MoBd","JlHd","EhBd","BlBd"
"68","Gobiomorphus australis",0.55719713,0.384272514,0.350083764460887,0.420458756,1.69490019172455
"69","Gymnocephalus cernua",0.38019604,0.407016505,0.343435312330392,0.64738846,1.61984605253603
"70","Hiodon alosoides",0.552563812,0.496686224,0.458596650715026,0.490035714,1.52577287833393
"71","Hiodon tergisus",0.518317472,0.555241849,0.423396013583596,0.534883163,1.44080165606985
"72","Hybognathus nuchalis",0.487453947,0.36422441,0.31034920783035,0.51302591,1.63996995509826
"73","Hybognathus placitus",0.389530192,0.313039343,0.328258431206041,0.510220493,1.64076396420871
"74","Hypentelium nigricans",0.392110668,0.085863689,NA,0.626671919,1.7785069607093
"75","Hypophthalmichthys molitrix",0.314380608,0.551897427,0.304493321947129,0.486083791,1.46622295166693
"76","Hypophthalmichthys nobilis",0.203676296,0.678390889,0.521145804434105,0.507559619,1.48482956335351
"77","Ictalurus furcatus",0.375399827,0.426891171,0.17667599137016,0.560972041,1.70621398583667
"78","Ictalurus punctatus",0.324100187,0.488390593,0.221263751998046,0.610576951,1.65686913232355
"79","Ictiobus bubalus",0.342734255,0.172781798,0.145363740357535,0.375575795,1.32690963367602
"80","Ictiobus cyprinellus",0.236382302,0.517014502,0.254426710657337,0.574395286,1.45199278961726
"81","Ictiobus niger",0.183521923,0.173701465,NA,0.457732368,1.41977749967301
"82","Labidesthes sicculus",0.628565998,0.559578758,0.39644690137896,0.471497705,2.07603091773362
"83","Leiopotherapon unicolor",0.328617219,0.45387644,0.428891620670261,0.580084929,1.35205226706968
"84","Lepisosteus oculatus",0.517447799,0.163994652,1.5523033791796,0.335192513,2.25345832136868
"85","Lepisosteus osseus",0.417702324,0.497840077,1.36453861632086,0.657994382,2.45517829887389
"86","Lepisosteus platostomus",0.533264176,0.63119066,1.56181827683872,0.574628334,2.24865934727119
"87","Lepomis cyanellus",0.30877193,0.48164257,0.448824791969365,0.572431215,1.22906941022685
"88","Lepomis gibbosus",0.330129489,0.464434835,0.263589226971403,0.523731719,1.14706217367931
"89","Lepomis gulosus",0.432426311,0.639960352,0.44389903297855,0.656447212,1.21799954827629
"90","Lepomis humilis",0.3984375,0.429411808,0.335847041227295,0.519635589,1.16746072750295
"91","Lepomis macrochirus",0.285712472,0.489906007,0.244663832793549,0.53012832,1.06455233203323
"92","Lepomis megalotis",0.272805195,0.436860496,0.314948184408695,0.551248096,1.11043354909862
"93","Lepomis microlophus",0.319605616,0.362397668,0.280052076423459,0.467191628,1.19409167203549
"94","Leucaspius delineatus",0.472083149,0.47113322,0.386786866773107,0.433064294,1.67509112894288
"95","Leuciscus aspius",0.22420979,0.571209678,0.522715497637486,0.565568455,1.52940687362582
"96","Leuciscus idus",0.508125952,0.507530524,0.355603077394978,0.525205221,1.55059067684303
"97","Leuciscus leuciscus",0.443884164,0.324335707,0.307124827648823,0.476097198,1.71542271284564
"98","Lota lota",0.481078462,0.524813967,0.577857015368424,0.773211219,2.1250511414267
"99","Lucania parva",0.559133759,0.492203082,0.155547090962674,0.50482058,1.53615690889371
"100","Luciobarbus graellsii",0.328947368,0,0.327133654625836,0.317674074,1.52789253311482
"101","Luxilus chrysocephalus",0.257130613,0.385708873,0.222547211138747,0.483371139,1.39280142965432
"102","Luxilus cornutus",0.442392068,0.485282688,0.345575894437859,0.53351614,1.52227108336242
"103","Macquaria ambigua",0.28644898,0.554399917,0.529487143776237,0.533494692,1.33886258042973
"104","Macquaria novemaculeata",0.338011628,0.367447876,0.517616467305351,0.463121085,1.37118582964198
"105","Macrhybopsis aestivalis",0.407863696,0.277961121,0.294163136162789,0.667410396,1.64854602674837
"106","Macrhybopsis storeriana",0.480922032,0.298414406,0.220246560686119,0.572636548,1.78173720133081
"107","Menidia beryllina",0.683736523,0.603413527,0.221899235874753,0.603131844,1.96518096255464
"108","Micropterus dolomieu",0.332552432,0.601273409,0.504809351640015,0.652592702,1.46819177814082
"109","Micropterus punctulatus",0.304379901,0.551825412,0.565616024173924,0.619045718,1.46956100601083
"110","Micropterus salmoides",0.271130617,0.546138912,0.611755535979977,0.598507859,1.36046078733077
"111","Minytrema melanops",0.272235108,0.130742049,0.157572302536974,0.501766784,1.65042588613905
