,EdHd,MoBd,JlHd,EhBd,BlBd,HdBd,PFiBd,PFlBl,CFdCPd,Length,AVG_MXL,AVG_LMAT,AVG_AGEMAT,AVG_LONGY,AVG_FECUND,AVG_EGGSIZE,Tp_pref,Q_pref
EdHd,1,0.151196657,-0.185011562,-0.148252749,-0.108046065,-0.083803276,-0.051867559,0.092980451,0.356396776,-0.561499521,-0.524810563,-0.431034191,-0.438134916,-0.417805437,-0.348238788,-0.135675169,-0.06066264,-0.163968687
MoBd,0.151196657,1,0.26607934,0.512365505,0.060230485,-0.090910693,0.445548911,0.041336985,-0.043812112,0.131092207,0.170505727,0.138785826,0.04874304,0.024035211,0.099994374,0.142043366,-0.018135469,0.136962345
JlHd,-0.185011562,0.26607934,1,0.344834656,0.122461173,0.276901228,0.005879979,-0.180074562,0.080288491,0.301115855,0.284284311,0.264951918,0.251684464,0.098610043,-0.010680576,0.470941439,-0.394412202,-0.079460768
EhBd,-0.148252749,0.512365505,0.344834656,1,0.215490144,0.504561654,0.529382746,0.039052104,-0.280515634,0.041670926,0.014292358,-0.015076398,0.009354359,-0.025128161,-0.057096596,0.088624537,-0.208085957,0.149841632
BlBd,-0.108046065,0.060230485,0.122461173,0.215490144,1,0.64052814,0.382883854,-0.488682097,-0.337482684,0.036588888,0.232080881,0.11577427,0.142215426,0.168765421,0.020759728,0.049365032,-0.242914717,0.046724611
HdBd,-0.083803276,-0.090910693,0.276901228,0.504561654,0.64052814,1,0.1966217,0.061144937,-0.126928957,-0.350374147,-0.367537994,-0.338541509,-0.247551873,-0.311090471,-0.409730385,-0.067946978,-0.109534098,0.101503508
PFiBd,-0.051867559,0.445548911,0.005879979,0.529382746,0.382883854,0.1966217,1,0.153918103,-0.100444651,0.049587365,0.084222952,0.031539782,-0.017807897,-0.020365226,0.02273981,-0.070704804,-0.050084127,0.270136942
PFlBl,0.092980451,0.041336985,-0.180074562,0.039052104,-0.488682097,0.061144937,0.153918103,1,0.212415414,-0.366168196,-0.401696286,-0.393080946,-0.352807282,-0.397540251,-0.325090949,-0.039407607,0.255305528,0.297929672
CFdCPd,0.356396776,-0.043812112,0.080288491,-0.280515634,-0.337482684,-0.126928957,-0.100444651,0.212415414,1,-0.187276432,-0.172391654,-0.12328701,-0.25823919,-0.185822296,-0.187262943,0.10785951,-0.188520844,-0.109984917
Length,-0.561499521,0.131092207,0.301115855,0.041670926,0.036588888,-0.350374147,0.049587365,-0.366168196,-0.187276432,1,0.984784022,0.899623037,0.768680021,0.846411951,0.787054015,0.124877356,-0.158804627,-0.015712612
AVG_MXL,-0.524810563,0.170505727,0.284284311,0.014292358,0.232080881,-0.367537994,0.084222952,-0.401696286,-0.172391654,0.984784022,1,0.875134071,0.780167745,0.849582018,0.777832228,0.162189315,-0.189221729,-0.038972561
AVG_LMAT,-0.431034191,0.138785826,0.264951918,-0.015076398,0.11577427,-0.338541509,0.031539782,-0.393080946,-0.12328701,0.899623037,0.875134071,1,0.754750492,0.802689787,0.784154086,0.098656085,-0.204689958,0.010526484
AVG_AGEMAT,-0.438134916,0.04874304,0.251684464,0.009354359,0.142215426,-0.247551873,-0.017807897,-0.352807282,-0.25823919,0.768680021,0.780167745,0.754750492,1,0.777223485,0.660149281,0.116411617,-0.291888406,0.039302854
AVG_LONGY,-0.417805437,0.024035211,0.098610043,-0.025128161,0.168765421,-0.311090471,-0.020365226,-0.397540251,-0.185822296,0.846411951,0.849582018,0.802689787,0.777223485,1,0.799552359,-0.021113301,-0.190964931,-0.149061907
AVG_FECUND,-0.348238788,0.099994374,-0.010680576,-0.057096596,0.020759728,-0.409730385,0.02273981,-0.325090949,-0.187262943,0.787054015,0.777832228,0.784154086,0.660149281,0.799552359,1,-0.318413826,-0.0146078,-0.029013865
AVG_EGGSIZE,-0.135675169,0.142043366,0.470941439,0.088624537,0.049365032,-0.067946978,-0.070704804,-0.039407607,0.10785951,0.124877356,0.162189315,0.098656085,0.116411617,-0.021113301,-0.318413826,1,-0.267143638,-0.034230846
Tp_pref,-0.06066264,-0.018135469,-0.394412202,-0.208085957,-0.242914717,-0.109534098,-0.050084127,0.255305528,-0.188520844,-0.158804627,-0.189221729,-0.204689958,-0.291888406,-0.190964931,-0.0146078,-0.267143638,1,0.193621992
Q_pref,-0.163968687,0.136962345,-0.079460768,0.149841632,0.046724611,0.101503508,0.270136942,0.297929672,-0.109984917,-0.015712612,-0.038972561,0.010526484,0.039302854,-0.149061907,-0.029013865,-0.034230846,0.193621992,1
