"","Pair","Site_ID1","Site_ID2","DistMetersEuclid","DistMetersWater","BioRealm","HydroBasin","Country","Ratio"
"1","S11928.S10038","S11928","S10038",2972.61629903607,2865.789402,"Palearctic",2080029400,"FIN",1.03727660412224
"2","S1193.S1177","S1193","S1177",1577.25450758905,1325.319116,"Palearctic",2080033080,"SWE",1.19009413547843
"3","S12317.S11924","S12317","S11924",1133.42158635643,1132.342726,"Palearctic",2080029400,"FIN",1.0009527683904
"4","S1215.S1213","S1215","S1213",736.148384488424,704.9940331,"Palearctic",2080033020,"SWE",1.04419094336364
"5","S12306.S12298","S12306","S12298",575.721247872929,544.8311946,"Palearctic",2080029400,"FIN",1.05669655772116
"6","S1416.S1414","S1416","S1414",79.8766306078361,40.11968557,"Palearctic",2080033090,"SWE",1.99095854000324
"7","S1598.S1587","S1598","S1587",638.873812890693,484.3865643,"Palearctic",2080032600,"SWE",1.3189338020016
"8","S1619.S1587","S1619","S1587",1252.68291362238,838.393486,"Palearctic",2080032600,"SWE",1.49414676347137
"9","S1599.S1593","S1599","S1593",214.927272370013,101.2796318,"Palearctic",2080032230,"SWE",2.12211743417903
"10","S1619.S1598","S1619","S1598",624.445737808566,354.0069218,"Palearctic",2080032600,"SWE",1.76393652031853
"11","S1761.S1750","S1761","S1750",707.027130665038,391.573741,"Palearctic",2080033120,"SWE",1.80560404499912
"12","S1800.S1798","S1800","S1798",412.468340527277,148.4238496,"Palearctic",2080032230,"SWE",2.77898964107771
"13","S2163.S2162","S2163","S2162",1792.7394205694,1782.958176,"Palearctic",2080033120,"SWE",1.0054859641135
"14","S2201.S2168","S2201","S2168",2591.46949673155,1972.688675,"Palearctic",2080033190,"SWE",1.31367383489012
"15","S2355.S2329","S2355","S2329",1216.64625739427,0,"Palearctic",2080033010,"SWE",Inf
"16","S2380.S2376","S2380","S2376",250.472075745859,195.766786,"Palearctic",2080033010,"SWE",1.27944111901525
"17","S2472.S2446","S2472","S2446",2268.81761994036,2237.52199,"Palearctic",2080033190,"SWE",1.01398673625566
"18","S3237.S2679","S3237","S2679",312.504515617143,219.1168331,"Palearctic",2080016960,"ESP",1.42620040275282
"19","S2715.S2709","S2715","S2709",43.5724575033316,43.24369668,"Palearctic",2080033080,"SWE",1.00760251432167
"20","S2803.S2783","S2803","S2783",1311.63139074361,359.9639506,"Palearctic",2080033080,"SWE",3.64378540839255
"21","S2813.S2783","S2813","S2783",2254.62046935261,865.2978011,"Palearctic",2080033080,"SWE",2.60560059956983
"22","S2785.S2784","S2785","S2784",111.773639125808,49.20240112,"Palearctic",2080032230,"SWE",2.27171106656365
"23","S3058.S2992","S3058","S2992",2246.76589223132,2226.842654,"Palearctic",2080053790,"GBR",1.00894685495427
"24","S3115.S3103","S3115","S3103",515.476465862381,514.4645556,"Palearctic",2080031960,"SWE",1.00196691929768
"25","S3115.S3109","S3115","S3109",285.509754051062,281.9731071,"Palearctic",2080031960,"SWE",1.01254249735883
