,EdHd,MoBd,JlHd,EhBd,BlBd,HdBd,PFiBd,PFlBl,CFdCPd,Length,AVG_MXL,AVG_LMAT,AVG_AGEMAT,AVG_LONGY,AVG_FECUND,AVG_EGGSIZE,Tp_pref,Q_pref
EdHd,1,0.408188054,0.041442364,-0.188944008,0.072896773,0.304272581,0.30730562,-0.145987121,0.306957001,-0.613075548,-0.610141754,-0.634948183,-0.518416864,-0.608812553,-0.529931771,-0.02532056,0.079629978,-0.129741294
MoBd,0.408188054,1,0.048087198,0.495354773,0.099641027,0.120501543,0.073264164,0.055654543,0.082971714,-0.27409462,-0.378348535,-0.371401066,-0.395141986,-0.389132118,-0.505308472,0.01440233,-0.000998031,0.220708388
JlHd,0.041442364,0.048087198,1,0.187623611,-0.146791481,0.195812932,-0.119382424,0.106235172,0.16974473,0.139484467,0.142144662,0.157512501,0.187813788,0.25161275,0.07604035,0.012023974,0.134873215,-0.247667527
EhBd,-0.188944008,0.495354773,0.187623611,1,-0.035715362,0.133300109,-0.078373624,0.214467745,-0.055981276,0.158890517,0.05891731,0.090382781,-0.004944385,-0.005392802,-0.014982022,-0.041791478,-0.021271656,0.169805653
BlBd,0.072896773,0.099641027,-0.146791481,-0.035715362,1,0.215610882,0.573763045,-0.746174827,-0.488290045,0.21993572,0.148138172,0.265217573,0.214971997,0.044717788,0.091851682,-0.056106607,-0.031412304,0.221614666
HdBd,0.304272581,0.120501543,0.195812932,0.133300109,0.215610882,1,0.102310238,0.156854821,0.394667269,-0.415155432,-0.386663216,-0.405971484,-0.3616662,-0.34003552,-0.458368655,0.189759748,-0.041485839,-0.172399652
PFiBd,0.30730562,0.073264164,-0.119382424,-0.078373624,0.573763045,0.102310238,1,-0.190852114,-0.109966674,-0.162448414,-0.044533412,0.031792645,0.10818235,-0.164806434,-0.066786973,0.003983538,-0.035417688,0.040266757
PFlBl,-0.145987121,0.055654543,0.106235172,0.214467745,-0.746174827,0.156854821,-0.190852114,1,0.541838467,-0.188500759,-0.197184584,-0.272848802,-0.457429131,-0.159297157,-0.271335926,0.374924504,0.306304006,0.357593088
CFdCPd,0.306957001,0.082971714,0.16974473,-0.055981276,-0.488290045,0.394667269,-0.109966674,0.541838467,1,-0.248239188,-0.220982694,-0.307380086,-0.5275388,-0.257123966,-0.254524477,0.347094898,0.27661484,0.169426903
Length,-0.613075548,-0.27409462,0.139484467,0.158890517,0.21993572,-0.415155432,-0.162448414,-0.188500759,-0.248239188,1,0.98496589,0.958364192,0.810828654,0.912779302,0.844562688,0.059459581,-0.109563025,0.097279649
AVG_MXL,-0.610141754,-0.378348535,0.142144662,0.05891731,0.148138172,-0.386663216,-0.044533412,-0.197184584,-0.220982694,0.98496589,1,0.957006381,0.798517143,0.899326902,0.823424793,0.131286523,-0.061042453,0.065189037
AVG_LMAT,-0.634948183,-0.371401066,0.157512501,0.090382781,0.265217573,-0.405971484,0.031792645,-0.272848802,-0.307380086,0.958364192,0.957006381,1,0.83739294,0.865934253,0.818942942,0.084495797,-0.082418771,0.075341242
AVG_AGEMAT,-0.518416864,-0.395141986,0.187813788,-0.004944385,0.214971997,-0.3616662,0.10818235,-0.457429131,-0.5275388,0.810828654,0.798517143,0.83739294,1,0.854025498,0.760710983,-0.179007226,-0.431148538,-0.197792574
AVG_LONGY,-0.608812553,-0.389132118,0.25161275,-0.005392802,0.044717788,-0.34003552,-0.164806434,-0.159297157,-0.257123966,0.912779302,0.899326902,0.865934253,0.854025498,1,0.782552224,0.083011692,-0.239079208,-0.064625512
AVG_FECUND,-0.529931771,-0.505308472,0.07604035,-0.014982022,0.091851682,-0.458368655,-0.066786973,-0.271335926,-0.254524477,0.844562688,0.823424793,0.818942942,0.760710983,0.782552224,1,-0.279581235,-0.145279809,-0.042614594
AVG_EGGSIZE,-0.02532056,0.01440233,0.012023974,-0.041791478,-0.056106607,0.189759748,0.003983538,0.374924504,0.347094898,0.059459581,0.131286523,0.084495797,-0.179007226,0.083011692,-0.279581235,1,0.099765155,0.21952442
Tp_pref,0.079629978,-0.000998031,0.134873215,-0.021271656,-0.031412304,-0.041485839,-0.035417688,0.306304006,0.27661484,-0.109563025,-0.061042453,-0.082418771,-0.431148538,-0.239079208,-0.145279809,0.099765155,1,0.406750136
Q_pref,-0.129741294,0.220708388,-0.247667527,0.169805653,0.221614666,-0.172399652,0.040266757,0.357593088,0.169426903,0.097279649,0.065189037,0.075341242,-0.197792574,-0.064625512,-0.042614594,0.21952442,0.406750136,1
